date,close,ret1,ret5,ret10,ret20,vs20,vs60,rsi14,volume_ratio,rebound_score,risk_score,fwd5,fwd10,fwd20
2025-03-24,2794.0,-5.925925925925924,-5.608108108108112,0.14336917562725038,17.148846960167717,2.769706109537662,31.418447500039193,60.15625,0.49566017962673425,50.8,0.0,-14.531138153185397,-45.669291338582674,-35.43307086614173
2025-03-25,2676.0,-4.2233357193987136,-14.368000000000002,-2.8322440087146017,14.702100300042865,-2.187619935303464,24.931916151823085,57.03703703703704,0.6626258772285583,57.7,0.0,-15.732436472346789,-32.7354260089686,-34.08071748878923
2025-03-26,2660.0,-0.5979073243647215,-16.08832807570978,0.45317220543805714,3.300970873786402,-2.9232509762417425,23.26894410417617,57.07226683137739,0.5051363960195804,54.1,0.0,-12.932330827067673,-36.8421052631579,-30.827067669172937
2025-03-27,2539.0,-4.5488721804511245,-16.204620462046204,-6.620080912100034,0.0,-7.339148206269841,16.796491658488712,54.449027695934,0.47302690145142956,58.8,0.0,-18.668767231193385,-18.944466325324928,-28.593934619929108
2025-03-28,2564.0,0.9846396218983866,-13.670033670033666,-6.52570178636529,-8.59180035650624,-6.013452832609378,17.040215456246877,41.439393939393945,0.7805271118523331,62.0,0.0,-26.560062402496097,-22.698907956318248,-27.06708268330733
2025-03-31,2388.0,-6.864274570982842,-14.531138153185397,-19.324324324324326,-10.561797752808989,-12.010169678881333,8.409121861900925,37.465753424657535,0.4606813790214443,68.9,0.0,-36.4321608040201,-18.509212730318257,-21.02177554438861
2025-04-01,2255.0,-5.569514237855944,-15.732436472346789,-27.839999999999996,-9.14585012087027,-16.56182934951528,1.85875285136754,36.785474108944186,0.651459444276355,65.0,2.7,-20.17738359201774,-13.791574279379159,-17.738359201773836
2025-04-02,2316.0,2.7050997782705144,-12.932330827067673,-26.940063091482646,-5.392156862745101,-14.094955489614247,4.0883282647451,36.35748138117806,0.8194526023127502,59.8,0.0,-27.461139896373055,-22.27979274611399,-20.854922279792742
2025-04-03,2065.0,-10.837651122625214,-18.668767231193385,-31.84818481848185,-15.055532702591524,-22.881577473204608,-7.486914513130294,30.105633802816897,1.0649288587000891,47.9,23.4,-0.3389830508474523,-11.186440677966104,-11.622276029055689
2025-04-04,1883.0,-8.813559322033903,-26.560062402496097,-36.599326599326595,-21.147403685092126,-29.009029387924368,-15.732474099930638,17.735170760934693,0.9207063959655079,38.1,44.6,5.257567711099309,-5.363781200212426,1.9118428040361124
2025-04-07,1518.0,-19.38396176314392,-36.4321608040201,-45.669291338582674,-45.59139784946237,-41.36392606755896,-31.91043995065973,7.009095773140729,1.0353207006084755,27.6,88.9,28.19499341238472,18.840579710144922,27.33860342555994
2025-04-08,1800.0,18.577075098814234,-20.17738359201774,-32.7354260089686,-34.64052287581699,-29.165928811758455,-19.110212335692623,17.47388414055081,1.3803299855510125,32.6,44.9,8.000000000000007,-2.0000000000000018,13.666666666666671
2025-04-09,1680.0,-6.666666666666665,-27.461139896373055,-36.8421052631579,-36.55589123867069,-32.60455320429245,-24.318642540731293,17.64141898370086,0.8422455787457342,46.7,55.0,7.14285714285714,9.523809523809534,32.20238095238095
2025-04-10,2058.0,22.500000000000007,-0.3389830508474523,-18.944466325324928,-24.31040823832291,-16.33125990974509,-7.32443203566524,31.031613976705486,1.2378454211186323,57.3,2.5,-10.8843537414966,-11.904761904761907,7.240038872691934
2025-04-11,1982.0,-3.6929057337220628,5.257567711099309,-22.698907956318248,-27.743346700692673,-18.154976978506397,-10.768284172850805,32.37847222222223,0.9716443223184149,69.2,6.3,-10.09081735620585,-5.650857719475278,14.530776992936435
2025-04-14,1946.0,-1.816347124117057,28.19499341238472,-18.509212730318257,-34.25675675675676,-17.92319534363862,-12.454731538340413,33.573357335733576,1.251200245742537,66.9,7.8,-7.29701952723536,-3.083247687564239,13.82322713257964
2025-04-15,1944.0,-0.10277492291880241,8.000000000000007,-13.791574279379159,-37.792,-15.913318050088677,-12.64688040620997,33.78623188405797,0.7081659615923558,67.6,4.2,-9.259259259259256,-4.578189300411529,14.248971193415638
2025-04-16,1800.0,-7.4074074074074066,7.14285714285714,-22.27979274611399,-43.217665615141954,-19.764642952661138,-19.124750073012386,33.43792021515016,0.7533060501908979,69.0,18.5,2.2222222222222143,1.8333333333333313,21.888888888888893
2025-04-17,1834.0,1.8888888888888955,-10.8843537414966,-11.186440677966104,-39.47194719471947,-16.010258289063927,-17.674783974862528,33.70535714285714,0.5944040190137196,73.3,9.4,-1.1450381679389277,-0.4907306434024039,19.193020719738275
2025-04-18,1782.0,-2.8353326063249695,-10.09081735620585,-5.363781200212426,-40.0,-16.109594200169465,-20.019748210318443,35.6805293005671,0.42261395182840195,83.6,12.0,4.938271604938271,7.6879910213243585,21.94163860830527
2025-04-21,1804.0,1.2345679012345734,-7.29701952723536,18.840579710144922,-35.43307086614173,-13.047669542584462,-19.001436781609193,38.753117206982544,0.5455295894960824,77.7,9.0,4.545454545454541,7.15077605321508,15.022172949002211
2025-04-22,1764.0,-2.2172949002217335,-9.259259259259256,-2.0000000000000018,-34.08071748878923,-13.064905623182687,-20.7671749724886,36.08870967741936,0.3598221579578844,86.2,10.8,5.158730158730163,15.986394557823136,16.666666666666675
2025-04-23,1840.0,4.308390022675734,2.2222222222222143,9.523809523809534,-30.827067669172937,-7.4493234746743076,-17.368980435010418,43.78109452736318,0.6324474998392653,64.5,7.4,-0.38043478260869623,20.706521739130434,12.880434782608695
2025-04-24,1813.0,-1.4673913043478315,-1.1450381679389277,-11.904761904761907,-28.593934619929108,-7.111384363151963,-18.63996050919209,47.88391777509069,0.6245573852651815,78.2,8.6,0.6618863761720828,21.731936017650312,14.28571428571428
2025-04-25,1870.0,3.1439602868174266,4.938271604938271,-5.650857719475278,-27.06708268330733,-2.456835845808769,-16.17795375592992,63.07578008915305,0.7409397405575506,52.1,6.2,2.620320855614966,21.3903743315508,12.192513368983949
2025-04-28,1886.0,0.8556149732620311,4.545454545454541,-3.083247687564239,-21.02177554438861,-0.3171247357293905,-15.571770709761168,53.98148148148148,0.8658282869219278,59.9,5.6,2.492046659597036,17.444326617179208,15.588547189819725
2025-04-30,1855.0,-1.6436903499469802,5.158730158730163,-4.578189300411529,-17.738359201773836,-0.9081196581196549,-17.01151996420982,58.82946518668012,0.41914568718290895,63.7,7.0,10.296495956873319,19.73045822102426,13.153638814016166
2025-05-01,1833.0,-1.1859838274932644,-0.38043478260869623,1.8333333333333313,-20.854922279792742,-0.8036366588197064,-18.01164446366137,32.283464566929126,0.5998159139404181,78.2,8.0,21.167484997272233,19.694489907255864,8.837970540098205
2025-05-02,1825.0,-0.4364429896344779,0.6618863761720828,-0.4907306434024039,-11.622276029055689,-0.591006890541157,-18.39198676385101,36.15520282186948,0.4190368394552105,75.8,8.4,20.931506849315063,19.78082191780821,8.602739726027387
2025-05-07,1919.0,5.150684931506855,2.620320855614966,7.6879910213243585,1.9118428040361124,4.426849508883612,-14.306128220776715,47.84,1.116248470489486,49.1,4.3,18.29077644606565,13.236060448150088,7.347576862949445
2025-05-08,1933.0,0.7295466388744121,2.492046659597036,7.15077605321508,27.33860342555994,4.014205768402923,-13.807966706302011,49.13657770800628,0.7850096575813864,56.7,3.8,14.58872219348164,7.3460941541645175,9.467149508535954
2025-05-09,2046.0,5.845835488877382,10.296495956873319,15.986394557823136,13.666666666666671,9.37082375581333,-8.991837733247344,70.29702970297029,1.1117666554623429,21.2,0.0,8.553274682306933,0.5865102639296182,5.816226783968714
2025-05-12,2221.0,8.553274682306933,21.167484997272233,20.706521739130434,32.20238095238095,17.033328942168357,-1.589950743281654,75.90361445783132,1.5720783333578825,5.7,2.0,-1.2156686177397513,-6.483565961278703,-4.907699234579022
2025-05-13,2207.0,-0.6303466906798727,20.931506849315063,21.731936017650312,7.240038872691934,15.840856602981312,-2.5140795818456185,79.97179125528915,1.4989438954930252,22.5,1.6,-0.9515178975985528,-6.11690077027639,-3.3982782057091043
2025-05-14,2270.0,2.8545536927956583,18.29077644606565,21.3903743315508,14.530776992936435,18.253802875599078,-0.030093730962044152,81.06666666666666,0.9703616878767582,8.1,0.0,-4.273127753303962,-7.577092511013217,-3.480176211453745
2025-05-15,2215.0,-2.4229074889867808,14.58872219348164,17.444326617179208,13.82322713257964,14.585758257675696,-2.6566173723878705,79.47712418300654,0.9619026935732696,24.3,0.0,-6.320541760722342,-1.5801354401805856,-5.733634311512414
2025-05-16,2221.0,0.27088036117381975,8.553274682306933,19.73045822102426,14.248971193415638,14.078791925625357,-2.6339823914075966,77.41007194244605,1.90138738468499,28.3,3.7,-7.339036470058535,-5.4930211616389,-9.500225123818096
2025-05-19,2194.0,-1.2156686177397513,-1.2156686177397513,19.694489907255864,21.888888888888893,11.563103834028276,-3.9166167905055227,77.41007194244605,0.7810713358136209,36.2,0.0,-5.332725615314493,-9.070191431175934,-8.432087511394714
2025-05-20,2186.0,-0.3646308113035568,-0.9515178975985528,19.78082191780821,19.193020719738275,10.170345731277086,-4.1459297099384,74.45820433436532,0.7619079958233941,36.2,0.0,-5.215004574565418,-9.332113449222323,-4.666056724611167
2025-05-21,2173.0,-0.5946935041171053,-4.273127753303962,13.236060448150088,21.94163860830527,8.446662507797885,-4.5003076382174605,72.31726283048212,0.55381934676494,40.1,0.0,-3.4514496088357105,-5.200184077312475,-5.844454670961808
2025-05-22,2075.0,-4.509894155545324,-6.320541760722342,7.3460941541645175,15.022172949002211,2.8602587617112096,-8.599703407872894,65.49295774647888,0.4680763917332537,54.1,0.0,5.060240963855422,1.9759036144578301,1.3493975903614563
